nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"SANCHEZ VIAMONTE, JULIO",1898-1900,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"SANCHEZ VIAMONTE, JULIO",1912-1916,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"SANCHEZ, ADOLFO B.",1938-1942,Corrientes,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SANCHEZ, ADOLFO B.",1928-1932,Corrientes,AUTONOMISTA LIBERAL ACUERDISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"SANCHEZ, ARNOBIO",1897-1898,San Juan,No consignado,,,,,,,,,,,
"SANCHEZ, BALTAZAR",1854-1858,Mendoza,No consignado,,,,,,Parana,,,,,
"SANCHEZ, CARLOS A.",1940-1944,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"SANCHEZ, CARLOS A.",1924-1928,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SANCHEZ, CARLOS A.",1928-1932,Buenos Aires,UNION CIVICA RADICAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU);,,,,,,,,,
"SANCHEZ, DELFIN",1870-1874,Jujuy,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la",,,,,,,,,,
"SANCHEZ, EDUARDO",1983-1985,Buenos Aires,UNION CIVICA RADICAL,,,,,,,,,,,
"SANCHEZ, LILIANA ESTER",1999-2003,Buenos Aires,"ALIANZA POR EL TRABAJO, LA JUSTICIA Y LA EDUCACION",,,,,,,,,,,
"SANCHEZ, PEDRO",1948-1952,Córdoba,PARTIDO PERONISTA,,,,,,,,,,,
"SANCHEZ, PEDRO F. T.",1898-1902,Corrientes,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"SANCTIS, GUILLERMO HORACIO DE",1997-2001,San Juan,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SANDLER, HECTOR RAUL",1973-1977,Capital Federal,ALIANZA POPULAR REVOLUCIONARIA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SANDLER, HECTOR RAUL",1963-1965,Córdoba,UNION DEL PUEBLO ARGENTINO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"SANGIACOMO, RICARDO ARTURO",1973-1977,Buenos Aires,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"SANGUINETI, VIRGINIA LUISA",1973-1977,Capital Federal,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"SANTA COLOMA, TOMAS",1898-1902,Capital Federal,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"SANTA MARIA, ARTURO",1924-1928,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SANTA MARIA, ARTURO",1920-1924,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SANTA MARIA, ARTURO",1928-1932,Buenos Aires,UNION CIVICA RADICAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"SANTA MARIA, JOSE FRANCISCO",1993-1997,Capital Federal,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SANTA MARIA, OSCAR H.",1963-1965,Buenos Aires,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 17/10/1964,,,,,,
"SANTAGADA, NIRIDO E.",1960-1964,Buenos Aires,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"SANTAGADA, NIRIDO E.",1958-1960,Buenos Aires,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SANTAMARINA, ANTONIO",1930-1934,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"SANTAMARINA, ANTONIO",1916-1920,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SANTAMARINA, ANTONIO",1920-1924,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SANTAMARINA, ANTONIO",1926-1930,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SANTAMARINA, ANTONIO",1908-1912,Buenos Aires,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"SANTAMARINA, ANTONIO",1912-1916,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;",,,,,,,,,,
"SANTAMARINA, RAMON",1898-1902,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"SANTANDER, MARIO ARMANDO",2005-2009,La Rioja,PERONISMO FEDERAL,,,,,,,,,,,
"SANTANDER, MARIO ARMANDO",1995-1999,La Rioja,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SANTANDER, SILVANO",1948-1952,Entre Ríos,UNION CIVICA RADICAL,,,,,,Suspendido el 29/12/1951,,,,,
"SANTANDER, SILVANO",1946-1948,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SANTANDER, SILVANO",1940-1944,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"SANTILLAN, ENRIQUE",1932-1936,Tucumán,DEFENSA PROVINCIAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SANTILLAN, JOSE D.",1912-1916,Santiago del Estero,No consignado,,,,,,,,,,,
"SANTILLAN, WALTER MARCELO",2011-2015,Tucumán,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"SANTILLAN, ZENON J.",1910-1914,Tucumán,No consignado,,,,,Falleció el 03/08/1910,,"Reemplazado por PADILLA, ERNESTO E.",,,,
"SANTILLAN, ZENON J.",1880-1882,Tucumán,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la Legislatura provincialNota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"SANTILLI, DIEGO CESAR",1999-2003,Capital Federal,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SANTIN, EDUARDO",1997-2001,Buenos Aires,"ALIANZA POR EL TRABAJO, LA JUSTICIA Y LA EDUCACION",,,,,,,,,,,
"SANTIN, EDUARDO",2011-2015,Buenos Aires,UNION CIVICA RADICAL,,,,,,,,,,,
"SANTIN, EDUARDO",1991-1995,Buenos Aires,UNION CIVICA RADICAL,,,,,,,,,,,
"SANTONI, NABUCODONOSOR",1958-1962,Mendoza,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SANTOS, JUAN A. DE LOS",1880-1882,Corrientes,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"SANTUCHO, OSCAR D.",1952-1955,Córdoba,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SAÑUDO, CLEMENTE RODOLFO",1965-1969,Santa Fe,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"SAPAG, SILVIA ESTELA",2005-2009,Neuquen,FRENTE PARA LA VICTORIA - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SAPORITI, LUIS",1948-1952,Corrientes,PARTIDO PERONISTA,,,,,,,,,,,
"SAQUER, JOSE LUIS",1997-2001,Chaco,ALIANZA FRENTE de TODOS,,,,,,,,,,,
"SARAVIA, DAVID",1914-1918,Salta,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SARAVIA, DAVID",1876-1880,Salta,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de l,,,,,,,,,,
"SARAVIA, JOSE MARIA",1934-1938,Salta,UNION CIVICA RADICAL TRADICIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SARAVIA, PABLO",1922-1926,Salta,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SARAVIA, TEODORO SOTERO",1946-1950,Jujuy,UNION CIVICA RADICAL IRIGOYENISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,Mandato prorrogado hasta 30/04/1952,,,,,
"SARAVIA, VICENTE",1878-1882,Entre Ríos,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"SARBOLI, RUBEN JUAN",1973-1977,Buenos Aires,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"SAREDI, ROBERTO MIGUEL",1999-2003,Buenos Aires,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SARGHINI, JORGE",2005-2009,Buenos Aires,PARTIDO JUSTICIALISTA BONAERENSE - JUSTICIALISTA NACIONAL,,,,,,,Reemplazado por LILIA E. CASSESE,,,,
"SARLI, OSVALDO RAUL",1973-1977,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"SARMIENTO, BUENAVENTURA",1864-1868,San Luis,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección",,,Desafuero 21/07/1867,,,,,,,
"SARMIENTO, BUENAVENTURA",1863-1864,San Luis,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimi",,,,,,,,,,
"SARMIENTO, CIRILO",1878-1880,San Juan,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"SARMIENTO, DOMINGO FAUSTINO",1854-1856,San Juan,No consignado,,,,,,Parana,,,,,
"SARMIENTO, FRANCISCO F.",1900-1904,San Luis,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"SARMIENTO, JUAN LUIS",1899-1900,San Juan,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"SARMIENTO, MANUEL",1946-1950,Jujuy,UNION CIVICA RADICAL IRIGOYENISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,Mandato prorrogado hasta 30/04/1952,,,,,
"SARMIENTO, MARIANO",1955-1961,Chubut,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"SARMIENTO, NELIDA MARTA",1965-1969,Capital Federal,UNION POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"SARMIENTO, RODOLFO M.",1888-1892,San Luis,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"SARQUIS, GUILLERMO CARLOS",1983-1987,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SARQUIZ, JOSE ALBERTO",1993-1997,Santiago del Estero,UNION CIVICA RADICAL,,,,,,,,,,,
"SARRAT, RODOLFO P.",1928-1932,Buenos Aires,PARTIDO CONSERVADOR,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,Falleció el 31/07/1929,,,,,,
"SARRAUTE, JOSE ROBERTO",1946-1948,Tucumán,No consignado,,,,,,,,,,,
"SARTORI, DIEGO H.",2003-2007,Misiones,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SARUBI, PEDRO ALBERTO",1983-1985,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SARULLE, OSCAR EMILIO",1963-1965,Tucumán,PARTIDO DE LA JUSTICIA SOCIAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SARULLE, OSCAR EMILIO",1962-1966,Tucumán,PARTIDO LABORISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,Comicio anulado 25/04/1962,,,,,,,,
"SASTRE, ANGEL",1902-1906,Santa Fe,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"SAT, OSCAR",1995-1999,Mendoza,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SATRAGNO, LIDIA ELSA",2007-2011,Buenos Aires,UNION-PRO,,,,,,,,,,,
"SAUL, ROBERTO",1973-1977,La Rioja,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"SAURET, HECTOR B.",1960-1964,Entre Ríos,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"SAVRON, HAYDEE TERESA",1999-2003,Neuquen,MOVIMIENTO POPULAR NEUQUINO,,,,,,,,,,,
"SAYAGO VALDEZ, MIGUEL ANGEL",1958-1962,Tucumán,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SCALESI, JUAN CARLOS",2007-2011,Rio Negro,CONCERTACION,,,,,,,,,,,
"SCALITER, JUAN",1963-1965,Santa Fe,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SCANDONE, EDUARDO ERNESTO",1952-1958,Capital Federal,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"SCARABINO, FRANCISCO",1940-1944,Santa Fe,UNION CIVICA RADICAL DE SANTA Fe,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"SCARPELLO, CAYETANO",1963-1965,Buenos Aires,DEMOCRATA PROGRESISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SCARPIN, DELKI AROLDO",1999-2003,Santa Fe,"ALIANZA POR EL TRABAJO, LA JUSTICIA Y LA EDUCACION",,,,,,,"Reemplazado por GUTIERREZ, ALICIA VERONICA",,,,
"SCELZI, CARLOS JOSE",1991-1995,Entre Ríos,FRENTE JUSTICIALISTA ENTRERRIANO,,,,,,,,,,,
"SCELZI, CARLOS MARIA",1983-1985,Entre Ríos,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SCHAPIRA, DAVID",1963-1967,Buenos Aires,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"SCHAPIRA, LUIS OSIAS",1955-1961,Jujuy,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"SCHAPOSNIK, EDUARDO C.",1963-1965,Buenos Aires,PARTIDO SOCIALISTA DEMOCRATICO FEDERACION SOCIAL BONAERENSE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SCHIAFFINO, NICOLAS HIPOLITO",1965-1969,Buenos Aires,UNION POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"SCHIARETTI, JUAN",2001-2005,Córdoba,PARTIDO JUSTICIALISTA,,,,,,,"Reemplazado por BOSSA, MAURICIO CARLOS",,,,
"SCHIARETTI, JUAN",1993-1997,Córdoba,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SCHIAVONI, ESTER AIDA",2005-2009,Capital Federal,PARTIDO PARA UNA REPUBLICA CON OPORTUNIDADES,,,,,Falleció el 25/01/2006,,"Reemplazada por GALVALISI, LUIS A.",,,,
"SCHMIDT LIERMANN, CORNELIA",2011-2015,Ciudad Autónoma de Buenos Aires,PRO,,,,,,,,,,,
"SCHOO LASTRA, DIONISIO",1938-1942,Buenos Aires,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SCHOO LASTRA, DIONISIO",1934-1938,Buenos Aires,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SCHOO LASTRA, DIONISIO",1932-1934,Buenos Aires,PARTIDO DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SCHWEIZER, BERNARDO",1958-1962,Santa Fe,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SCIOLI, DANIEL OSVALDO",2001-2005,Capital Federal,FRENTE UNION POPULAR BUENOS AIRES - PARTIDO JUSTICIALISTA,,,,,,,"Reemplazado por PEREZ SUAREZ, INES",,,,
"SCIOLI, DANIEL OSVALDO",1997-2001,Capital Federal,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SCIURANO, ADOLFO",1983-1985,Tierra del Fuego,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,"Reemplazado por RESTOVICH, FRANCISCO",,,,
"SCIUTTO, RUBEN DARIO",2011-2015,Tierra del Fuego,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"SCIUTTO, RUBEN DARIO",2007-2011,Tierra del Fuego,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"SCOTTO, DIEGO B.",1898-1902,Capital Federal,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,Falleció el 21/08/1899,,"Reemplazado por GOUCHON, EMILIO",,,,
"SCRIMIZZI, GLORIA ELIDA",1993-1997,Buenos Aires,ALIANZA FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"SEBASTIANI, CLAUDIO AUGUSTO",1997-2001,Buenos Aires,ALIANZA FRENTE JUSTICIALISTA BONAERENSE,,,,,,,,,,,
"SEBASTIANI, CLAUDIO AUGUSTO",1993-1997,Buenos Aires,ALIANZA FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"SEBRIANO CHAPARRO, LUIS ALBERTO",1999-2003,Formosa,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SEEBER, CARLOS MANUEL",1948-1952,Buenos Aires,PARTIDO PERONISTA,,,,,,,,,,,
"SEGARRA, ADELA ROSA",2011-2015,Buenos Aires,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"SEGARRA, ADELA ROSA",2007-2011,Buenos Aires,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"SEGOVIA, CARLOS A.",1958-1962,Jujuy,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SEGUI, FRANCISCO",1900-1904,Buenos Aires,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;,,,,,,,,,,
"SEGUI, FRANCISCO",1891-1894,Buenos Aires,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;,,,,,,,,,,
"SEGUI, FRANCISCO",1904-1908,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"SEGUI, FRANCISCO",1898-1900,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;",,,,,,,,,,
"SEGUI, HECTOR MIGUEL",1989-1993,San Juan,UNION CIVICA RADICAL,,,,,,,,,,,
"SEGUI, JUAN FRANCISCO",1854-1856,Santa Fe,No consignado,,,,,,Parana,,,,,
"SEJAS, LISANDRO MAURICIO",1999-2003,Buenos Aires,UNION DE CENTRO DEMOCRATICO,,,,,,,,,,,
"SELEN, NICOLAS",1928-1932,Capital Federal,UNION CIVICA RADICAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"SELLA, ORLANDO ENRIQUE",1985-1989,Córdoba,PARTIDO JUSTICIALISTA,,,,,,,"Reemplazado por ANDRUET, ARMANDO S.",,,,
"SELLA, ORLANDO ENRIQUE",1983-1985,Córdoba,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SELLARES, AVELINO",1934-1938,Santa Fe,DEMOCRATA PROGRESISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"SELLARES, AVELINO",1932-1934,Santa Fe,DEMOCRATA PROGRESISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"SELLARES, FRANCISCO NICOLAS",2001-2005,Santa Fe,FRENTE JUSTICIALISTA POR SANTA Fe - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"SELSER, JORGE JOSE",1965-1969,Capital Federal,PARTIDO SOCIALISTA ARGENTINO,,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"SEMPRUN, JOSE R.",1912-1916,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"SENEPART, JULIO CARLOS",1983-1985,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 15/04/1984,,"Reemplazado por CARMONA, JORGE",,,,
"SEPULVEDA, JOSE DEMETRIO",1962-1966,Chaco,MOVIMIENTO CIVICO BANDERA POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,Comicio anulado 25/04/1962,,,,,,,,
