nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"AGUIRRE, CLETO",1878-1882,Salta,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial","Cese del Poder Legislativo en 1880, por la Federalización de Buenos Aires",,,,,,,,,
"AGUIRRE, CLETO",1868-1872,Salta,No consignado,Nota girada a esta Cámara por la Legislatura provincial;,,,,,,,,,,
"AGUIRRE, CLETO",1862-1864,Salta,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial ;",,,,,,,,,,
"AGUIRRE, DIOGENES",1914-1918,Mendoza,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUIRRE, JOSE URBANO",1926-1930,Santa Fe,UNION CIVICA RADICAL UNIFICADA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUIRRE, MARIO DARDO",1973-1977,Catamarca,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"AGUIRRE, ORLANDO RAUL",1995-1999,Formosa,ALIANZA FRENTE de la VICTORIA,,,,,,,,,,,
"AGUIRRE, RAFAEL M.",1914-1918,Mendoza,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGULLA, JUAN CARLOS",1936-1940,Córdoba,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUNDEZ, JORGE",1989-1993,San Luis,UNION CIVICA RADICAL,,,,,,,,,,,
"AHUMADA, LUIS ALBERTO",1934-1938,Catamarca,CONCORDANCIA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AHUMADA, LUIS ALBERTO",1932-1934,Catamarca,UNION CIVICA RADICAL ANTIPERSONALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,,,,,,,,,,
