Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
"MORENO, RAMON ENRIQUE  ",03/05/1973,30/04/1977 ,03/05/1973,24/03/1976 ,SANTIAGO DEL ESTERO ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"MORILLO, CARLOS ARGENTINO  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,LA RIOJA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"MORO, EDUARDO ANÍBAL ",10/12/2001,09/12/2007 ,10/12/2001,04/12/2003 ,CHACO ,UNIÓN CÍVICA RADICAL ,"MASTANDREA, ALICIA ESTER ",REEMPLAZA AL SENADOR LEÓN POR EXPIRACION DE MANDATO.  
"MORON, DOMINGO  ",17/08/1895,30/04/1904 ,17/08/1895,30/04/1904 ,SAN JUAN ,SIN ESPECIFICAR ,"MORON, DOMINGO  ",REEMPLAZA A ANACLETO GIL POR EXPIRACION DE MANDATO.  
"MORON, DOMINGO  ",02/05/1904,30/04/1913 ,02/05/1904,15/05/1906 ,SAN JUAN ,SIN ESPECIFICAR ,"GODOY, ENRIQUE  ",REELECTO. FALLECE EN 1906. LO REEMPLAZA ENRIQUE GODOY ( 1906-1912 ) Y ALBERTO DE LA PRECILLA ( 1912-1913 ).  
"MOYA, ARMENGOL ROQUE  ",05/05/1966,30/04/1975 ,05/05/1966,28/06/1966 ,CHACO ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966. REEMPLAZA A LUBARY POR EXPIRACION DE MANDATO.  
"MOYANO, GUILLERMO A.  ",30/07/1880,30/04/1889 ,07/05/1881,30/04/1889 ,CÓRDOBA ,SIN ESPECIFICAR ,"TAGLE, CARLOS  ",COMPLETA EL PERIODO DE ANTONIO DEL VISO. (1880/1889).  
"MULLER, MABEL HILDA ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,BUENOS AIRES ,JUSTICIALISTA ,SENADORA EN EJERCICIO ,REEMPLAZA AL SENADOR VILLAVERDE POR EXPIRACION DEL MANDATO.  
"MUNIAGURRIA, CAMILO JOSE MIGUEL  ",03/05/1973,31/03/1977 ,03/05/1973,25/11/1973 ,SANTA FE ,SIN ESPECIFICAR ,"CULASSO MATTEI, LUIS F.  ",FALLECE EN 1973. LO REEMPLAZA LUIS CULASSO MATTEI.  
"MURGUIA, EDGARDO P. ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,SANTA CRUZ ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"MURGUIA, EDGARDO P. ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,SANTA CRUZ ,JUSTICIALISTA ,"LUDUEÑA, FELIPE ERNESTO ",LO REEMPLAZA FELIPE LUDUEÑA.  
"NAPOLI, ANTONIO O. ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"NAPOLI, ANTONIO O. ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,"COSTANZO, REMO ",LO REEMPLAZA REMO COSTANZO.  
"NAVARRO, ANGEL  ",24/05/1862,30/04/1871 ,24/05/1862,30/04/1871 ,CATAMARCA ,SIN ESPECIFICAR ,"NAVARRO, MANUEL JOSE  ",NINGUNA 
"NAVARRO, MANUEL JOSE  ",01/07/1871,30/04/1880 ,01/07/1871,30/04/1880 ,CATAMARCA ,SIN ESPECIFICAR ,"NAVARRO, MANUEL JOSE  ",REEMPLAZA A ANGEL NAVARRO POR EXPIRACION DE MANDATO.  
"NAVARRO, MANUEL JOSE  ",03/07/1880,30/04/1889 ,03/07/1880,30/04/1889 ,CATAMARCA ,SIN ESPECIFICAR ,"DEL PINO, ANTONIO  ",REELECTO.  
"NAVARRO, RAMON MARDONIO  ",25/04/1952,30/04/1958 ,25/04/1952,21/09/1955 ,CATAMARCA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"NEGRE de ALONSO, LILIANA TERESITA ",09/12/1998,09/12/2001 ,14/03/2001,09/12/2001 ,SAN LUIS ,JUSTICIALISTA ,"NEGRE DE ALONSO, LILIANA TERESITA ",REEMPLAZA A ALBERTO RODRIGUEZ SAA.  
"NEGRE de ALONSO, LILIANA TERESITA ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,SAN LUIS ,JUSTICIALISTA ,"NEGRE DE ALONSO, LILIANA TERESITA ",REELECTA.  
"NEGRE de ALONSO, LILIANA TERESITA ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,SAN LUIS ,ALIANZA FRENTE JUSTICIALISTA ,SENADORA EN EJERCICIO ,NINGUNA 
"NEGRE de ALONSO, LILIANA TERESITA ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,SAN LUIS ,ALIANZA COMPROMISO FEDERAL ,,NINGUNA 
"NIEVES, ROGELIO J. ",29/11/1983,09/12/1992 ,29/11/1983,09/12/1992 ,FORMOSA ,JUSTICIALISTA ,"BRANDA, RICARDO ALBERTO ",NINGUNA 
