Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
"QUINTELA, TERESITA NICOLASA ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,LA RIOJA ,PARTIDO DE LA VICTORIA ,SENADORA EN EJERCICIO ,NINGUNA 
"QUINZIO, BERNARDO PASCUAL ",29/11/1995,09/12/2001 ,29/11/1995,09/12/1997 ,SAN LUIS ,JUSTICIALISTA ,"BARTOLUCCI, MARIO LUIS ",REEMPLAZA A ORALDO BRITOS POR EXPIRACION DE MANDATO. RENUNCIO EN 1997. COMPLETA SU MANDATO MARIO BARTOLUCCI.  
"QUIROGA, LINDOR L.  ",23/05/1901,30/04/1910 ,23/05/1901,30/04/1910 ,SAN LUIS ,SIN ESPECIFICAR ,"GUIÑAZU, VICTOR S.  ",REEMPLAZA A JUAN BARBEITO POR EXPIRACION DE MANDATO.  
"RACEDO, LUCIO  ",31/03/1958,30/04/1967 ,31/03/1958,06/09/1962 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"RACHED, EMILIO ALBERTO ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,SANTIAGO DEL ESTERO ,FRENTE CÍVICO POR SANTIAGO ,SENADOR EN EJERCICIO ,NINGUNA 
"RAIJER, BEATRIZ IRMA ",29/11/1995,09/12/2001 ,14/07/1999,09/12/2001 ,CÓRDOBA ,JUSTICIALISTA ,"MARTI, RUBEN AMÉRICO ",REEMPLAZA A JOSE MANUEL DE LA SOTA QUE RENUNCIO PARA SER GOBERNADOR DE LA PROVINCIA DE CORDOBA.  
"RAMELLA, PABLO ANTONIO  ",22/05/1946,30/04/1952 ,22/05/1946,30/04/1952 ,SAN JUAN ,LABORISTA ,"HERRERA, PAULINO B.  ",NINGUNA 
"RAMIREZ, LAURO FRANCISCO  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,CHACO ,UNION POPULAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"RAPELA, RAUL NORBERTO  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,SANTA FE ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"RASO, MARTA ETHEL ",10/12/2001,09/12/2003 ,10/12/2001,Sin Fecha ,CHUBUT ,UNIÓN CÍVICA RADICAL ,"GIUSTI, SILVIA ESTER ",REEMPLAZA AL SENADOR ALTUNA POR EXPIRACION DE MANDATO.  
"RAWSON, GUILLERMO  ",26/05/1862,30/04/1871 ,26/05/1862,13/10/1862 ,SAN JUAN ,SIN ESPECIFICAR ,"LASPIUR, SATURNINO M.  ",RENUNCIA EN 1862 PARA SER MINISTRO DEL INTERIOR DE LA NACIÓN. LO REEMPLAZA SATURNINO LASPIUR (1863) Y TADEO ROJO (1864/1871.  
"RAWSON, GUILLERMO  ",01/05/1868,30/04/1877 ,06/06/1874,30/04/1877 ,SAN JUAN ,SIN ESPECIFICAR ,"IGARZABAL, RAFAEL  ",COMPLETA EL PERIODO DE GELON MARTINEZ QUE FALLECIO.  
"RESOAGLI, JUAN LUIS  ",02/05/1904,30/04/1913 ,29/04/1910,30/04/1913 ,CORRIENTES ,SIN ESPECIFICAR ,"LUBARY, JUAN JOSE  ",COMPLETA EL PERIODO DE MANUEL MANTILLA. (1904-1913).  
"REUTEMANN, CARLOS ALBERTO ",13/12/1995,09/12/2001 ,13/12/1995,10/12/1999 ,SANTA FE ,JUSTICIALISTA ,"DI PIETRO, ARTURO ROLANDO ",REEMPLAZA A LUIS RUBEO POR EXPIRACION DE MANDATO. RENUNCIA PARA SER GOBERNADOR DE LA PROVINCIA DE SANTA FE. LO REEMPLAZA ARTURO DI PIETRO.  
"REUTEMANN, CARLOS ALBERTO ",10/12/2003,09/12/2009 ,10/12/2003,Sin Fecha ,SANTA FE ,JUSTICIALISTA ,SENADOR EN EJERCICIO ,NINGUNA 
"REUTEMANN, CARLOS ALBERTO ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,SANTA FE ,ALIANZA SANTA FE FEDERAL ,,NINGUNA 
"RICA, DIEGO ISIDRO  ",31/03/1958,30/04/1961 ,31/03/1958,30/04/1961 ,CHUBUT ,SIN ESPECIFICAR ,"ZUBASTI, EUSEBIO  ",NINGUNA 
"RIERA, FERNANDO PEDRO  ",30/04/1952,30/04/1958 ,11/06/1952,21/09/1955 ,TUCUMÁN ,JUSTICIALISTA ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A JUAN DE LAZARO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"RIOFRÍO, MARINA RAQUEL ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,SAN JUAN ,ALIANZA FRENTE PARA LA VICTORIA ,SENADORA EN EJERCICIO ,NINGUNA 
"RIOFRÍO, MARINA RAQUEL ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,SAN JUAN ,ALIANZA FRENTE PARA LA VICTORIA ,,NINGUNA 
"RIOS, OCTAVIO AGUSTIN  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,MISIONES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955. BANCA VACANTE DE 1958 AL 1960.  
"RÍOS, ROBERTO FABIÁN ",10/12/2003,09/12/2009 ,17/12/2003,Sin Fecha ,CORRIENTES ,JUSTICIALISTA ,SENADOR EN EJERCICIO ,NINGUNA 
"RISPOLI ROMAN, ENRIQUE G.  ",11/12/1963,30/04/1966 ,11/12/1963,30/04/1966 ,TUCUMÁN ,DE LA JUST. SOC. DE TUCUMAN ,VACANTE HASTA DISOLUC.P.L. ,LA BANCA QUEDA VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"RIVAS, OLIJELA del VALLE ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,TUCUMÁN ,JUSTICIALISTA ,"ORTEGA, RAMON BAUTISTA ",NINGUNA 
"RIVAS, OLIJELA del VALLE ",06/12/1989,09/12/1998 ,06/12/1989,09/12/1998 ,TUCUMÁN ,JUSTICIALISTA ,"ORTEGA, RAMON BAUTISTA ",REELECTA.  
"ROBLES, MIGUEL ANGEL ",13/12/1995,09/12/2001 ,08/08/2001,09/12/2001 ,SANTA FE ,JUSTICIALISTA ,"LATORRE, ROXANA ITATÍ ",REEMPLAZA AL SENADOR FUNES QUE FALLECE EL 29 / 07 / 2001.  
"ROCA, AGUSTIN  ",01/05/1857,30/04/1860 ,19/07/1859,30/04/1860 ,CÓRDOBA ,SIN ESPECIFICAR ,ES SENADOR SUPLENTE ,ES SENADOR SUPLENTE.  
"ROCA, JULIO A. (h)  ",29/08/1916,30/04/1925 ,29/08/1916,01/05/1922 ,CÓRDOBA ,SIN ESPECIFICAR ,"NUÑEZ, RAFAEL  ",REEMPLAZA A VICENTE PEÑA POR EXPIRACION DE MANDATO. RENUNCIA EN 1922 Y PASA A SER GOBERNADOR DE LA PROVINCIA DE CORDOBA. LO REEMPLAZA RAFAEL NUÑEZ.  
"ROCA, JULIO ARGENTINO  ",03/11/1888,30/04/1892 ,03/11/1888,09/08/1890 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"ALEM, LEANDRO NICEFORO  ",COMPLETA EL PERIODO DE DIEGO DE ALVEAR. RENUNCIA EN 1890 PARA SER MINISTRO DEL INTERIOR. LO REEMPLAZA LEANDRO ALEM HASTA EXPIRACION DE MANDATO.  
"ROCA, JULIO ARGENTINO  ",23/05/1892,30/04/1901 ,23/05/1892,02/08/1893 ,TUCUMÁN ,SIN ESPECIFICAR ,"GARCIA, FRANCISCO L.  ",REEMPLAZA A NOUGUES POR EXPIRACION DE MANDATO. RENUNCIA EN 1893. LO REEMPLAZA FRANCISCO GARCIA.  
"ROCA, JULIO ARGENTINO  ",06/05/1895,30/04/1904 ,06/05/1895,12/10/1898 ,TUCUMÁN ,SIN ESPECIFICAR ,"CORDOBA, LUCAS A.  ",RENUNCIA EN 1898 PARA SER PRESIDENTE DE LA NACION. LO REEMPLAZA LUCAS CORDOBA.  
"ROCHA ERRECART, ADOLFO ANTONIO  ",31/03/1958,30/04/1967 ,31/03/1958,24/04/1961 ,BUENOS AIRES ,SIN ESPECIFICAR ,"PEREZ AZNAR, ATAULFO  ","FALLECE EL 24 DE ABRIL DE 1961, LO REEMPLAZA ATAULFO PEREZ AZNAR.  "
"ROCHA, DARDO  ",27/06/1874,30/04/1883 ,27/06/1874,01/05/1881 ,BUENOS AIRES ,SIN ESPECIFICAR ,"PELLEGRINI, CARLOS  ",REEMPLAZA A BARTOLOME MITRE POR EXPIRACION DE MANDATO. RENUNCIA EN 1881 PARA SER GOBERNADOR DE LA PROVINCIA DE BUENOS AIRES.LO REEMPLAZA CARLOS PELLEGRINI.  
"ROCHA, DARDO  ",31/05/1884,30/04/1892 ,31/05/1884,30/04/1892 ,BUENOS AIRES ,SIN ESPECIFICAR ,"SAENZ PEÑA, ROQUE  ",COMPLETA EL PERIODO DE CARLOS D'AMICO.  
"RODRIGUEZ LEONARDI DE ROSALES, ELVIRA  ",25/04/1952,30/04/1955 ,25/04/1952,17/12/1954 ,CÓRDOBA ,JUSTICIALISTA ,"URRUTIA, JOSE MIGUEL  ",REEMPLAZA A OSVALDO AMELOTTI POR EXPIRACION DE MANDATO. RENUNCIA EL 17/12/1954.  
"RODRIGUEZ SAA, ADOLFO  ",30/04/1919,30/04/1928 ,17/03/1923,30/04/1928 ,SAN LUIS ,DEMOCRATA - MENDOZA ,"RODRIGUEZ SAA, ADOLFO  ",OCUPA EL CARGO EN 1923.  
"RODRIGUEZ SAA, ADOLFO  ",21/05/1928,30/04/1937 ,21/05/1928,06/09/1930 ,SAN LUIS ,DEMOCRATA - MENDOZA ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"RODRIGUEZ SAA, ADOLFO  ",20/01/1932,30/04/1941 ,20/01/1932,16/06/1933 ,SAN LUIS ,DEMOCRATA - MENDOZA ,"LANDABURU, LAUREANO  ","FALLECE EN 1933, LO REEMPLAZA LAUREANO LANDABURU.  "
"RODRÍGUEZ SAÁ, ADOLFO ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,SAN LUIS ,ALIANZA FRENTE JUSTICIALISTA ,SENADOR EN EJERCICIO ,NINGUNA 
"RODRÍGUEZ SAÁ, ADOLFO ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,SAN LUIS ,ALIANZA COMPROMISO FEDERAL ,,NINGUNA 
"RODRIGUEZ SAA, ALBERTO ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,SAN LUIS ,JUSTICIALISTA ,"RODRIGUEZ SAA, ALBERTO ",NINGUNA 
"RODRIGUEZ SAA, ALBERTO ",06/12/1989,09/12/1998 ,06/12/1989,14/12/1994 ,SAN LUIS ,JUSTICIALISTA ,"MARANGUELLO, PEDRO CARLOS ",REELECTO. RENUNCIA. LO REEMPLAZA PEDRO MARANGUELLO.  
"RODRIGUEZ SAA, ALBERTO ",09/12/1998,09/12/2001 ,08/03/2000,14/03/2001 ,SAN LUIS ,JUSTICIALISTA ,"NEGRE DE ALONSO, LILIANA TERESITA ",REEMPLAZA AL SENADOR MARANGUELLO.  
"RODRIGUEZ, CARLOS JUAN  ",11/05/1860,30/04/1869 ,11/05/1860,12/12/1861 ,SAN LUIS ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"RODRIGUEZ, CARLOS JUAN  ",26/11/1874,30/04/1883 ,11/06/1881,30/04/1883 ,SAN LUIS ,SIN ESPECIFICAR ,"CORTES, RAFAEL  ",COMPLETA EL PERIODO DE PABLO PRUNEDA.  
"RODRIGUEZ, CARLOS JUAN  ",30/04/1883,30/04/1892 ,27/09/1887,30/04/1892 ,SAN LUIS ,SIN ESPECIFICAR ,"MENDOZA, ERIBERTO  ",COMPLETA EL PERIODO DE RAFAEL CORTES QUE FALLECIO.  
"RODRIGUEZ, ESTANISLAO  ",17/10/1854,30/04/1857 ,17/10/1854,23/05/1856 ,SAN LUIS ,SIN ESPECIFICAR ,ES SENADOR SUPLENTE ,SUPLENTE. RENUNCIA EN 1856 PARA SER MINISTRO DE RELACIONES EXTERIORES Y CULTO.  
"RODRIGUEZ, EUGENIO LEON  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,MISIONES ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"RODRIGUEZ, GINES FROILAN  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,CHACO ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"RODRIGUEZ, MANUEL AUGUSTO ",09/12/1998,09/12/2001 ,22/12/1999,09/12/2001 ,FORMOSA ,JUSTICIALISTA ,"PAZ, ELVA AZUCENA ",REEMPLAZA A ANA PEÑA DE LOPEZ POR EXPIRACION DE MANDATO.  
"RODRIGUEZ, MANUEL F.  ",30/04/1883,30/04/1892 ,30/04/1883,30/04/1892 ,CATAMARCA ,SIN ESPECIFICAR ,"FIGUEROA, FRANCISCO C.  ",REEMPLAZA A MARCOS FIGUEROA POR EXPIRACION DE MANDATO.  
"ROJAS, ABSALON  ",01/05/1883,30/04/1892 ,05/05/1884,07/10/1886 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"SILVA, SOFANOR DE LA  ",RENUNCIA EN 1886 PARA SER GOBERNADOR DE LA PROVINCIA DE SANTIAGO DEL ESTERO. LO REEMPLAZA SOFANOR DE LA SILVA.  
"ROJAS, ABSALON  ",01/05/1886,30/04/1895 ,18/11/1889,07/10/1892 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"GARCIA, PEDRO  ",COMPLETA EL PERIODO DE MAXIMO RUIZ. RENUNCIA EN 1892 PARA SER GOBERNADOR DE LA PROVINCIA DE SANTIAGO DEL ESTERO. LO REEMPLAZA PEDRO GARCIA.  
"ROJAS, ABSALON  ",01/05/1892,30/04/1901 ,23/05/1893,23/07/1893 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"ZAVALIA, BENJAMIN  ",FALLECE EN 1893. LO REEMPLAZA BENJAMIN ZAVALIA.  
"ROJAS, ANGEL D.  ",08/08/1916,30/04/1925 ,08/08/1916,16/12/1918 ,SAN JUAN ,SIN ESPECIFICAR ,"GARRO, PEDRO A.  ",REEMPLAZA A MOISES GARRAMUÑO POR EXPIRACION DE MANDATO. FALLECE EN 1918. LO REEMPLAZA PEDRO GARRO.  
"ROJKES DE ALPEROVICH, BEATRIZ LILIANA ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,TUCUMÁN ,FRENTE PARA LA VICTORIA ,,NINGUNA 
"ROJO, ANSELMO  ",10/07/1862,30/04/1871 ,10/07/1862,20/03/1869 ,SALTA ,SIN ESPECIFICAR ,"ARIAS, JOSE MANUEL  ",FALLECE EN 1869. LO REEMPLAZA JOSE MANUEL ARIAS.  
"ROJO, TADEO  ",26/05/1862,30/04/1871 ,12/05/1864,30/04/1871 ,SAN JUAN ,SIN ESPECIFICAR ,"CARRIL, JOSE MARIA DEL  ",COMPLETA EL PERIODO DE SATURNINO LASPIUR.  
"ROLDÁN, JOSÉ MARÍA ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,CORRIENTES ,ALIANZA FRENTE DE TODOS ,,NINGUNA 
"ROLDAN, RAMON ANGEL  ",27/09/1949,30/04/1952 ,27/09/1949,30/04/1952 ,LA RIOJA ,SIN ESPECIFICAR ,"BAZAN, MIGUEL ANGEL  ",REEMPLAZA A CESAR VALLEJO POR EXPIRACION DE MANDATO.  
"ROMAN, ALEJO  ",28/04/1865,30/04/1874 ,28/04/1865,30/04/1874 ,CÓRDOBA ,SIN ESPECIFICAR ,"ALVAREZ, JUAN ANTONIO  ",REEMPLAZA A MARIANO FRAGUEIRO POR EXPIRACION DE MANDATO.  
"ROMERO FERIS, JOSE ANTONIO ",11/12/1986,09/12/1995 ,09/12/1987,09/12/1995 ,CORRIENTES ,AUTONOMISTA ,"ROMERO FERIS, JOSE ANTONIO ",COMPLETA EL PERIODO DE GABRIEL FERIS.  
"ROMERO FERIS, JOSE ANTONIO ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,CORRIENTES ,AUTONOMISTA ,"VIUDES, ISABEL JOSEFA ",REELECTO.  
"ROMERO, HUMBERTO ANTONIO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,CORRIENTES ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"ROMERO, JUAN CARLOS ",28/11/1986,09/12/1995 ,28/11/1986,10/12/1992 ,SALTA ,JUSTICIALISTA ,"SAN MILLAN, JULIO ARGENTINO ",REEMPLAZA A VILLADA POR EXPIRACION DE MANDATO. RENUNCIA EN 1992. LO REEMPLAZA JULIO SAN MILLAN.  
"ROMERO, JUAN CARLOS ",02/12/1992,09/12/2001 ,02/12/1992,10/12/1995 ,SALTA ,JUSTICIALISTA ,"CANTARERO, EMILIO MARCELO ",REEMPLAZA A H. BRAVO HERRERA POR EXPIRACION DE MANDATO. RENUNCIA EN 1995. LO REEMPLAZA EMILIO CANTARERO.  
"ROMERO, JUAN CARLOS ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,SALTA ,ALIANZA PARTIDO JUSTICIALISTA - FRENTE JUSTICIALISTA PARA LA VICTORIA ,SENADOR EN EJERCICIO ,NINGUNA 
"ROMERO, MARCELO JUAN ",25/11/1998,09/12/2001 ,25/11/1998,09/12/2001 ,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR ",MOVIMIENTO POPULAR FUEGUINO ,"CAPARRÓS, MABEL LUISA ",REEMPLAZA A JUAN CARLOS OYARZUN POR EXPIRACION DE MANDATO.  
"ROSAS, JUAN DE  ",11/05/1860,30/04/1869 ,11/05/1860,12/12/1861 ,MENDOZA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"ROSSI, CARLOS ALBERTO ",10/12/2003,09/12/2009 ,10/12/2003,Sin Fecha ,CÓRDOBA ,ALIANZA FRENTE NUEVO ,SENADOR EN EJERCICIO ,NINGUNA 
"ROSTAN, NESTOR DANIEL ",29/11/1995,09/12/2001 ,15/12/1999,09/12/2001 ,LA PAMPA ,UNIÓN CÍVICA RADICAL ,"PASSO, JUAN CARLOS ",REEMPLAZA AL SENADOR BERHONGARAY POR RENUNCIA DEL MISMO.  
"ROTHE, GUILLERMO  ",20/01/1932,19/01/1941 ,20/01/1932,03/10/1940 ,CÓRDOBA ,SIN ESPECIFICAR ,"ODDONE, GABRIEL A.  ",RENUNCIA EN 1940 Y PASA A SER MINISTRO DE JUSTICIA E INSTRUCCION PUBLICA.  
"RUBEO, LUIS ",11/12/1986,09/12/1995 ,11/12/1986,09/12/1995 ,SANTA FE ,JUSTICIALISTA ,"REUTEMANN, CARLOS ALBERTO ",REEMPLAZA A CELESTINO MARINI POR EXPIRACION DE MANDATO.  
"RUIZ DIAZ, ELSA B. ",10/12/2011,09/12/2013 ,10/12/2011,Sin Fecha ,ENTRE RÍOS ,ALIANZA FRENTE JUSTICIALISTA P/LA VICTORIA ,"OSUNA, BLANCA INES ",NINGUNA 
"RUIZ VILLASUSO, EDUARDO PIO  ",25/04/1953,30/04/1955 ,25/04/1953,30/04/1955 ,CHACO ,SIN ESPECIFICAR ,"TAVELLA, PEDRO CESAR  ",LA PROVINCIA DE CHACO SE LLAMO PRESIDENTE PERON DE 1953 A 1955.  
"RUIZ, HERMOGENES  ",03/05/1880,30/04/1889 ,22/05/1888,30/04/1889 ,SAN JUAN ,SIN ESPECIFICAR ,"DONCEL, CARLOS  ",COMPLETA EL PERIODO DE JOSE GODOY QUE FALLECIO.  
"RUIZ, MAXIMO  ",01/05/1886,30/04/1895 ,01/05/1886,21/06/1889 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"ROJAS, ABSALON  ",REEMPLAZA A GREGORIO SANTILLAN POR EXPIRACION DE MANDATO. RENUNCIA EN 1889 PARA SER GOBERNADOR DE SANTIAGO DEL ESTERO. LO REEMPLAZA ABSALON ROJAS.  
"RUZO, ALEJANDRO  ",28/04/1925,30/04/1934 ,28/04/1925,06/09/1930 ,CATAMARCA ,U. C. R. ANTIPERSONALISTA ,DISOLUCION DEL P. LEGISLATIVO ,EN 1922 SE LE RECHAZA EL DIPLOMA. REEMPLAZA A FERNANDO SORIA POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"SAADI de DENTONE, ALICIA ",23/11/1986,09/12/1995 ,23/11/1988,19/04/1993 ,CATAMARCA ,JUSTICIALISTA ,"FADEL, MARIO NALLIB ",RENUNCIA EN 1993. LA REEMPLAZA MARIO FADEL.  
"SAADI, RAMÓN EDUARDO ",28/11/1986,09/12/1995 ,16/12/1987,17/11/1988 ,CATAMARCA ,JUSTICIALISTA ,"SAADI DE DENTONE, ALICIA ",COMPLETA EL PERIODO DE VICENTE LEONIDAS SAADI. RENUNCIO EN 1988. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE CATAMARCA. LO REEMPLAZA ALICIA SAADI.  
"SAADI, RAMÓN EDUARDO ",10/12/2003,09/12/2009 ,10/12/2003,Sin Fecha ,CATAMARCA ,JUSTICIALISTA ,SENADOR EN EJERCICIO ,NINGUNA 
"SAADI, VICENTE LEONIDAS ",22/05/1946,30/04/1955 ,22/05/1946,20/06/1949 ,CATAMARCA ,PERONISTA ,"SANCHEZ RECALDE, LUIS NICOLAS AUGUSTO  ",RENUNCIA EL 20 DE JUNIO DE 1949 PARA SER GOBERNADOR DE LA PROVINCIA DE CATAMARCA. LO REEMPLAZA LUIS SANCHEZ RECALDE.  
"SAADI, VICENTE LEONIDAS ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,CATAMARCA ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"SAADI, VICENTE LEONIDAS ",29/11/1983,09/12/1986 ,29/11/1983,09/12/1986 ,CATAMARCA ,JUSTICIALISTA ,"SAADI, VICENTE LEONIDAS ",NINGUNA 
"SAADI, VICENTE LEONIDAS ",28/11/1986,09/12/1995 ,28/11/1986,10/12/1987 ,CATAMARCA ,JUSTICIALISTA ,"SAADI, RAMÓN EDUARDO ",REELECTO. RENUNCIA EN 1987. LO REEMPLAZA RAMON SAADI.  
"SAENZ PEÑA, ROQUE  ",23/06/1892,30/04/1901 ,23/06/1892,20/12/1892 ,BUENOS AIRES ,SIN ESPECIFICAR ,"MITRE, BARTOLOME  ",RENUNCIA EN 1892. LO REEMPLAZA BARTOLOME MITRE ( 1894-1901 ).  
"SAEZ, JOSE MARIA ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,CHUBUT ,UNIÓN CÍVICA RADICAL ,"GUINLE, MARCELO ALEJANDRO HORACIO ",POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR.  
"SAGER, HUGO ABEL ",09/12/1997,09/12/1998 ,09/12/1997,09/12/1998 ,CHACO ,JUSTICIALISTA ,"SAGER, HUGO ABEL ",COMPLETA EL PERIODO DE DEOLINDO BITTEL ( 1989 -1998 ) POR FALLECIMIENTO.  
"SAGER, HUGO ABEL ",25/11/1998,09/12/2001 ,25/11/1998,09/12/2001 ,CHACO ,JUSTICIALISTA ,"CURLETTI, MIRIAN BELÉN ",REELECTO.  
"SAGUIER, FERNANDO  ",30/04/1919,30/04/1928 ,30/04/1919,30/04/1928 ,BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"TORELLO, PABLO  ",REEMPLAZA A IGNACIO D. IRIGOYEN POR EXPIRACION DE MANDATO.  
"SAGUIER, FERNANDO  ",02/05/1938,30/04/1947 ,02/05/1938,18/03/1939 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"TAMBORINI, JOSE P.  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. FALLECE EN 1939. LO REEMPLAZA JOSE TAMBORINI.  
"SAL, EMILIO  ",04/05/1886,30/04/1895 ,27/05/1893,30/04/1895 ,TUCUMÁN ,SIN ESPECIFICAR ,"ROCA, JULIO ARGENTINO  ",COMPLETA EL PERIODO DE BENJAMIN PAZ. (1886/1895).  
"SALA, OSVALDO RUBEN ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,CHUBUT ,JUSTICIALISTA ,"MAESTRO, CARLOS ",REEMPLAZA A SOLARI YRIGOYEN POR EXPIRACION DE MANDATO.  
"SALAS CORREA, LUIS HUMBERTO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,TUCUMÁN ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"SALAZAR, CARLOS EDUARDO ",27/11/2003,09/12/2009 ,07/11/2007,Sin Fecha ,TUCUMÁN ,FUERZA REPUBLICANA ,SENADOR EN EJERCICIO ,NINGUNA 
"SALIM, LUIS ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,SANTIAGO DEL ESTERO ,JUSTICIALISTA ,"FIGUEROA, JOSE OSCAR ",NINGUNA 
"SALMEN, MIGUEL  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,SANTA FE ,U. C. R. INTRANSIGENTE ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"SALMOIRAGHI, JOSE CESAR  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,TUCUMÁN ,VANGUARDIA FEDERAL-TUCUMAN ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"SALUM, HUMBERTO ELIAS ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,JUJUY ,UNIÓN CÍVICA RADICAL ,"JENEFES, GUILLERMO RAÚL ",POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR.  
"SALVATORI, PEDRO ",10/12/2001,09/12/2007 ,10/12/2001,Sin Fecha ,NEUQUÉN ,MOVIMIENTO POPULAR NEUQUINO ,"FUENTES, MARCELO JORGE ",REEMPLAZA A LA SENADORA SILVIA SAPAG.  
