"1987";"61";"Federico Pedro Russo";"Frente Justicialista Renovador"
"1987";"63";"Pablo Oscar Pinto";"Unión Cívica Radical"
"1987";"62";"Manuel Quindimil";"Frente Justicialista Renovador"
"1987";"64";"Alfredo Gabriel Irigoin";"Unión Cívica Radical"
"1987";"65";"Antonio Ubaldo Lizarraga";"Unión Cívica Radical"
"1987";"66";"Emir Aldo Deguer";"Unión Cívica Radical"
"1987";"67";"Carlos Alberto Petroni";"Intransigente"
"1987";"68";"Juan José Fioramonti";"Unión Cívica Radical"
"1987";"69";"Humberto Hugo Maglione";"Unión Cívica Radical"
"1987";"70";"Hugo David Toledo";"Frente Justicialista Renovador"
"1987";"71";"Miguel Angel Prince";"Frente Justicialista Renovador"
"1987";"72";"Luis A. Colabianchi";"Frente Justicialista Renovador"
"1987";"73";"Horacio Miguel Morete";"Unión Cívica Radical"
"1987";"74";"Horacio Luis Marceloni";"Unión Cívica Radical"
"1987";"75";"Enrique Jaime Salzamann";"Frente Justicialista Renovador"
"1987";"76";"Julio César Gioscio";"Frente Justicialista Renovador"
"1987";"77";"Gustavo Adolfo Green";"Frente Justicialista Renovador"
"1987";"78";"Alberto Felipe Arbizu";"Unión Cívica Radical"
"1987";"120";"Alberto José Abraham";"Frente Justicialista Renovador"
"1987";"79";"Ernesto Francisco Lombardi";"Frente Justicialista Renovador"
"1987";"80";"Juan Carlos Russelot";"Frente Justicialista Renovador"
"1987";"81";"Alfredo Castellari";"Unión Cívica Radical"
"1987";"82";"Domingo José Taraborelli";"Frente Justicialista Renovador"
"1987";"83";"Rodolfo Menendez";"Unión Cívica Radical"
"1987";"84";"Juan Manuel Garcia";"Frente Justicialista Renovador"
"1987";"22";"Carlos Nelson Arburua";"Unión Cívica Radical"
"1987";"85";"Julio Rodriguez";"Frente Justicialista Renovador"
"1987";"86";"Jorge Oscar Scoccia";"Frente Justicialista Renovador"
"1987";"87";"Alcides Fidel Sequeiro";"Frente Justicialista Renovador"
"1987";"88";"Néstor Silvio Chesini";"Unión Cívica Radical"
"1987";"89";"Luis David C. Lagomarsino";"Frente Justicialista Renovador"
"1987";"90";"Francisco Pascual Scoganamillo";"Unión Cívica Radical"
"1987";"91";"Hugo Ernesto Gutierrez";"Unión Cívica Radical"
"1987";"92";"Eduardo Oscar Camaño";"Frente Justicialista Renovador"
"1987";"93";"Alejandro Pedro Ballester";"Frente Justicialista Renovador"
"1987";"94";"Nicolás Alberto Sica";"Unión Cívica Radical"
"1987";"95";"Héctor Luis Trucco";"Frente Justicialista Renovador"
"1987";"96";"Marcelo Patricio Gear";"Unión Cívica Radical"
"1987";"97";"Jorge Luis Cravero";"Unión Cívica Radical"
"1987";"98";"Luis Roberto Ripani";"Frente Justicialista Renovador"
"1987";"99";"Francisco José Ferro";"Unión Cívica Radical"
"1987";"100";"Adalberto Edgardo Bleser";"Frente Justicialista Renovador"
"1987";"101";"Victorio Carlos Migliaro";"Frente Justicialista Renovador"
"1987";"102";"Aldo Hugo Nascimbene";"Unión Cívica Radical"
"1987";"103";"Teodoro Gerónimo Dominguez";"Unión Cívica Radical"
"1987";"104";"Tomás Arnaldo Visciarelli";"Frente Justicialista Renovador"
"1987";"105";"Alfredo Ramón Viviant";"Frente Justicialista Renovador"
"1987";"106";"Melchor Angel Posse";"Unión Cívica Radical"
"1987";"107";"Eduardo Luis Dirocco";"Frente Justicialista Renovador"
"1987";"108";"Juan José Sanchez";"Unión Cívica Radical"
"1987";"109";"Carlos Alberto Mereles";"Frente Justicialista Renovador"
"1987";"110";"Miguel Kevin Geoghegan";"Unión Cívica Radical"
"1987";"111";"Nicolás José E. Pizzorno";"Frente Justicialista Renovador"
"1987";"112";"Heriberto Miguel Tavella";"Unión Cívica Radical"
"1987";"113";"Ricardo José Ubieto";"Acción Comunal del Partido de Tigre"
"1987";"116";"Juan Ismael Ferrari";"Unión Cívica Radical"
"1987";"114";"Maria Luisa Kugier";"Unión Cívica Radical"
"1987";"115";"Jorge Alberto Barrachia";"Unión Cívica Radical"
"1987";"117";"Raúl Correa";"Frente Justicialista Renovador"
"1987";"118";"Jorge Norberto Mangas";"Frente Justicialista Renovador"
"1987";"126";"Miguel Angel Sei";"Frente Justicialista Renovador"
"1987";"121";"Pedro Perez Irigoyen";"Unión Cívica Radical"
"1987";"122";"Enrique Garcia";"Unión Cívica Radical"
"1987";"123";"José Luis Fernandez Heredia";"Unión Cívica Radical"
"1987";"124";"Amadeo Augusto Stefanelli";"Frente Justicialista Renovador"
"1987";"125";"Aldo Luis Arrighi";"Unidad Socialista"
"1991";"1";"Guillermo Narbaitz";"Unión Cívica Radical"
"1991";"2";"Rubén Oscar Gamba";"Unión Cívica Radical"
"1991";"3";"Jorge Antonio Villaverde";"Frente Justicialista Federal"
"1991";"4";"Baldomero Alvarez De Olivera";"Frente Justicialista Federal"
"1991";"5";"Luis Alfredo Ilarregui";"Frente Justicialista Federal"
"1991";"6";"Rubén Oscar De Paula";"Unión Cívica Radical"
"1991";"7";"Jaime Linares";"Unión Cívica Radical"
"1991";"8";"José Luis Perez";"Frente Justicialista Federal"
"1991";"9";"Pedro Alberto Carossi";"Frente Justicialista Federal"
"1991";"202";"Daniel Néstor Bolinaga";"Frente Justicialista Federal"
"1991";"11";"Juan José Mussi";"Frente Justicialista Federal"
"1991";"12";"Eugenio Bladimiro Juzwa";"Frente Justicialista Federal"
"1991";"13";"Juan Carlos Reina";"Frente Justicialista Federal"
"1991";"14";"Ernesto Juan Figueras";"Unión Cívica Radical"
"1991";"15";"José María Garcia Lopez";"Frente Justicialista Federal"
"1991";"16";"Calixto Bartolomé Dellepiane";"Unión Cívica Radical"
"1991";"17";"Ezequiel Juan Rizzi";"Unión Cívica Radical"
"1991";"18";"Horacio Enrique Tapia";"Frente Justicialista Federal"
"1991";"19";"Pascual Angel Rampi";"Frente Justicialista Federal"
"1991";"20";"Carlos Rivas";"Unión Cívica Radical"
"1991";"21";"Santiago Luis Pignataro";"Frente Justicialista Federal"
"1991";"23";"Ricardo Riva";"Unión Cívica Radical"
